Country,Total Cases,Deaths,Continent
United States,6259992,188961,North America
Brazil,3952790,122681,South America
India,3794314,66678,Asia
Russia,1005000,17414,Europe
Peru,657129,29068,South America
South Africa,628259,14263,Africa
Colombia,624069,20052,South America
Mexico,606036,65241,North America
Spain,470973,29152,Europe
Argentina,428239,8971,South America
Chile,413145,11321,South America
Iran,378752,21797,Asia
United Kingdom,337168,41504,Europe
Bangladesh,317528,4351,Asia
Saudi Arabia,316670,3929,Asia
Pakistan,296590,6318,Asia
France,286007,30661,Europe
Turkey,271705,6417,Asia
Italy,270189,35491,Europe
Germany,246234,9383,Europe
Iraq,238338,7123,Asia
Philippines,226440,3623,Asia
Indonesia,180646,7616,Asia
Canada,129425,9132,North America
Ukraine,125789,2656,Europe
Israel,119627,963,Asia
Qatar,118994,198,Asia
Bolivia,117267,5101,South America
Ecuador,114309,6571,South America
Kazakhstan,105944,1588,Asia
Egypt,99115,5440,Africa
Dominican Republic,94979,1738,North America
Panama,93552,2018,North America
Romania,89891,3721,Europe
Kuwait,86478,535,Asia
Oman,85928,689,Asia
Belgium,85487,9897,Europe
China,85066,4634,Asia
Sweden,84532,5820,Europe
Guatemala,74893,2778,North America
Belarus,72141,691,Europe
Netherlands,71863,6235,Europe
United Arab Emirates,71540,387,Asia
Japan (+Diamond Princess),69104,1309,Asia
Poland,68517,2078,Europe
Morocco,63781,1184,Africa
Honduras,61769,1888,North America
Portugal,58633,1827,Europe
Singapore,56901,27,Asia
Nigeria,54247,1023,Africa
Ethiopia,53304,828,Africa
Bahrain,52440,190,Asia
Venezuela,47756,391,South America
Algeria,44833,1518,Africa
Ghana,44460,276,Africa
Armenia,44075,884,Asia
Kyrgyzstan,44036,1059,Asia
Switzerland,42763,2011,Europe
Uzbekistan,42370,326,Asia
Costa Rica,42184,443,North America
Nepal,41649,251,Asia
Afghanistan,38243,1409,Asia
Moldova,37208,1008,Europe
Azerbaijan,36732,538,Asia
Kenya,34315,577,Africa
Serbia,31581,716,Europe
Ireland,29025,1777,Europe
Austria,27969,734,Europe
Australia,25923,663,Australia/Oceania
El Salvador,25904,731,North America
Czech Republic (Czechia),25117,425,Europe
State of Palestine,23875,162,Asia
Bosnia and Herzegovina,20517,627,Europe
South Korea,20449,326,Asia
Cameroon,19409,414,Africa
Paraguay,18338,348,South America
Côte d'Ivoire,18103,117,Africa
Lebanon,17777,171,Asia
Denmark,17195,626,Europe
Bulgaria,16454,642,Europe
Libya,15156,250,Africa
Madagascar,15023,196,Africa
North Macedonia,14600,606,Europe
Senegal,13743,287,Africa
Sudan,13189,823,Africa
Zambia,12415,292,Africa
Norway,10951,264,Europe
Croatia,10725,191,Europe
Greece,10524,271,Europe
DR Congo,10114,259,Africa
Albania,9606,290,Europe
Guinea,9479,59,Africa
Malaysia,9360,128,Asia
French Guiana,9154,60,South America
Tajikistan,8619,68,Asia
Gabon,8533,53,Africa
Haiti,8230,203,North America
Finland,8161,336,Europe
Maldives,8003,29,Asia
Namibia,7692,81,Africa
Mauritania,7075,159,Africa
Luxembourg,6702,124,Europe
Hungary,6622,619,Europe
Zimbabwe,6559,203,Africa
Malawi,5576,175,Africa
Djibouti,5387,60,Africa
Equatorial Guinea,4965,83,Africa
Montenegro,4917,102,Europe
Hong Kong,4831,92,Asia
Central African Republic,4711,62,Africa
Nicaragua,4668,141,North America
Eswatini,4618,94,Africa
Rwanda,4142,16,Africa
Suriname,4089,72,South America
Cuba,4065,95,North America
Slovakia,4042,33,Europe
Mozambique,4039,23,Africa
Congo,3979,78,Africa
Cabo Verde,3970,40,Africa
Tunisia,3963,80,Africa
Thailand,3425,58,Asia
Somalia,3310,98,Africa
Mayotte,3301,40,Africa
Uganda,3112,32,Africa
Sri Lanka,3092,12,Asia
Gambia,3029,96,Africa
Slovenia,2979,134,Europe
Lithuania,2958,86,Europe
Syria,2830,116,Asia
Mali,2777,126,Africa
Angola,2729,109,Africa
Jamaica,2683,24,North America
South Sudan,2527,47,Africa
Estonia,2415,64,Europe
Bahamas,2276,50,North America
Guinea-Bissau,2205,34,Africa
Benin,2145,40,Africa
Iceland,2121,10,Europe
Aruba,2104,10,North America
Jordan,2097,15,Asia
Sierra Leone,2028,71,Africa
Yemen,1962,570,Asia
Malta,1931,13,Europe
Trinidad and Tobago,1797,27,North America
New Zealand,1757,22,Australia/Oceania
Botswana,1724,6,Africa
Réunion,1714,10,Africa
Uruguay,1611,44,South America
Georgia,1548,19,Asia
Cyprus,1490,21,Asia
Togo,1416,28,Africa
Latvia,1406,34,Europe
Guyana,1373,41,South America
Burkina Faso,1370,55,Africa
Liberia,1305,82,Africa
Guadeloupe,1269,16,North America
Andorra,1184,53,Europe
Niger,1176,69,Africa
Lesotho,1085,31,Africa
Belize,1050,13,North America
Vietnam,1046,34,Asia
Chad,1017,77,Africa
Myanmar,938,6,Asia
Sao Tome & Principe,896,15,Africa
Martinique,747,18,North America
San Marino,715,42,Europe
Channel Islands,630,48,Europe
French Polynesia,573,0,Australia/Oceania
Turks and Caicos,538,4,North America
Tanzania,509,21,Africa
Taiwan,489,7,Asia
Sint Maarten,482,19,North America
Papua New Guinea,460,5,Australia/Oceania
Burundi,445,1,Africa
Comoros,427,7,Africa
Faeroe Islands,411,0,Europe
Mauritius,356,10,Africa
Isle of Man,336,24,Europe
Eritrea,319,0,Africa
Mongolia,306,0,Asia
Gibraltar,295,0,Europe
Cambodia,274,0,Asia
Bhutan,227,0,Asia
Saint Martin,213,5,North America
Cayman Islands,205,1,North America
Barbados,176,7,North America
Bermuda,172,9,North America
Brunei ,144,3,Asia
Monaco,140,1,Europe
Seychelles,136,0,Africa
Liechtenstein,107,1,Europe
Antigua and Barbuda,94,3,North America
Curaçao,71,1,North America
St. Vincent & Grenadines,61,0,North America
British Virgin Islands,47,1,North America
Macao,46,0,Asia
Fiji,29,2,Australia/Oceania
Timor-Leste,27,0,Asia
Saint Lucia,26,0,North America
Grenada,24,0,North America
New Caledonia,23,0,Australia/Oceania
Laos,22,0,Asia
Dominica,20,0,North America
Saint Barthelemy,18,0,North America
Saint Kitts & Nevis,17,0,North America
Caribbean Netherlands,16,0,North America
Greenland,14,0,North America
Montserrat,13,1,North America
Falkland Islands,13,0,South America
Holy See,12,0,Europe
Western Sahara,10,1,Africa
MS Zaandam,9,2,
Saint Pierre & Miquelon,5,0,North America
Anguilla,3,0,North America
